T4_MAIN_MACE:Adept's Mace
T4_MAIN_MACE@1:Adept's Mace
T4_MAIN_MACE@2:Adept's Mace
T4_MAIN_MACE@3:Adept's Mace
T4_MAIN_MACE@4:Adept's Mace
T5_MAIN_MACE:Expert's Mace
T5_MAIN_MACE@1:Expert's Mace
T5_MAIN_MACE@2:Expert's Mace
T5_MAIN_MACE@3:Expert's Mace
T5_MAIN_MACE@4:Expert's Mace
T6_MAIN_MACE:Master's Mace
T6_MAIN_MACE@1:Master's Mace
T6_MAIN_MACE@2:Master's Mace
T6_MAIN_MACE@3:Master's Mace
T6_MAIN_MACE@4:Master's Mace
T7_MAIN_MACE:Grandmaster's Mace
T7_MAIN_MACE@1:Grandmaster's Mace
T7_MAIN_MACE@2:Grandmaster's Mace
T7_MAIN_MACE@3:Grandmaster's Mace
T7_MAIN_MACE@4:Grandmaster's Mace
T8_MAIN_MACE:Elder's Mace
T8_MAIN_MACE@1:Elder's Mace
T8_MAIN_MACE@2:Elder's Mace
T8_MAIN_MACE@3:Elder's Mace
T8_MAIN_MACE@4:Elder's Mace
T4_2H_MACE:Adept's Heavy Mace
T4_2H_MACE@1:Adept's Heavy Mace
T4_2H_MACE@2:Adept's Heavy Mace
T4_2H_MACE@3:Adept's Heavy Mace
T4_2H_MACE@4:Adept's Heavy Mace
T5_2H_MACE:Expert's Heavy Mace
T5_2H_MACE@1:Expert's Heavy Mace
T5_2H_MACE@2:Expert's Heavy Mace
T5_2H_MACE@3:Expert's Heavy Mace
T5_2H_MACE@4:Expert's Heavy Mace
T6_2H_MACE:Master's Heavy Mace
T6_2H_MACE@1:Master's Heavy Mace
T6_2H_MACE@2:Master's Heavy Mace
T6_2H_MACE@3:Master's Heavy Mace
T6_2H_MACE@4:Master's Heavy Mace
T7_2H_MACE:Grandmaster's Heavy Mace
T7_2H_MACE@1:Grandmaster's Heavy Mace
T7_2H_MACE@2:Grandmaster's Heavy Mace
T7_2H_MACE@3:Grandmaster's Heavy Mace
T7_2H_MACE@4:Grandmaster's Heavy Mace
T8_2H_MACE:Elder's Heavy Mace
T8_2H_MACE@1:Elder's Heavy Mace
T8_2H_MACE@2:Elder's Heavy Mace
T8_2H_MACE@3:Elder's Heavy Mace
T8_2H_MACE@4:Elder's Heavy Mace
T4_2H_FLAIL:Adept's Morning Star
T4_2H_FLAIL@1:Adept's Morning Star
T4_2H_FLAIL@2:Adept's Morning Star
T4_2H_FLAIL@3:Adept's Morning Star
T4_2H_FLAIL@4:Adept's Morning Star
T5_2H_FLAIL:Expert's Morning Star
T5_2H_FLAIL@1:Expert's Morning Star
T5_2H_FLAIL@2:Expert's Morning Star
T5_2H_FLAIL@3:Expert's Morning Star
T5_2H_FLAIL@4:Expert's Morning Star
T6_2H_FLAIL:Master's Morning Star
T6_2H_FLAIL@1:Master's Morning Star
T6_2H_FLAIL@2:Master's Morning Star
T6_2H_FLAIL@3:Master's Morning Star
