122: T1_CARROT                                                        : Carrots
 123: T2_BEAN                                                          : Beans
 124: T3_WHEAT                                                         : Sheaf of Wheat
 125: T4_TURNIP                                                        : Turnips
 126: T5_CABBAGE                                                       : Cabbage
 127: T6_POTATO                                                        : Potatoes
 128: T7_CORN                                                          : Bundle of Corn
 129: T8_PUMPKIN                                                       : Pumpkin
 130: T2_AGARIC                                                        : Arcane Agaric
 131: T3_COMFREY                                                       : Brightleaf Comfrey
 132: T4_BURDOCK                                                       : Crenellated Burdock
 133: T5_TEASEL                                                        : Dragon Teasel
 134: T6_FOXGLOVE                                                      : Elusive Foxglove
 135: T7_MULLEIN                                                       : Firetouched Mullein
 136: T8_YARROW                                                        : Ghoul Yarrow
 137: T3_EGG                                                           : Hen Eggs
 138: T4_MILK                                                          : Goat's Milk
 139: T5_EGG                                                           : Goose Eggs
 140: T6_MILK                                                          : Sheep's Milk
 141: T8_MILK                                                          : Cow's Milk
 142: T1_FISH_FRESHWATER_ALL_COMMON                                    : Common Rudd
 143: T2_FISH_FRESHWATER_ALL_COMMON                                    : Striped Carp
 144: T3_FISH_FRESHWATER_ALL_COMMON                                    : Albion Perch
 145: T4_FISH_FRESHWATER_ALL_COMMON                                    : Bluescale Pike
 146: T5_FISH_FRESHWATER_ALL_COMMON                                    : Spotted Trout
 147: T6_FISH_FRESHWATER_ALL_COMMON                                    : Brightscale Zander
 148: T7_FISH_FRESHWATER_ALL_COMMON                                    : Danglemouth Catfish
 149: T8_FISH_FRESHWATER_ALL_COMMON                                    : River Sturgeon
 150: T1_FISH_SALTWATER_ALL_COMMON                                     : Common Herring
 151: T2_FISH_SALTWATER_ALL_COMMON                                     : Striped Mackerel
 152: T3_FISH_SALTWATER_ALL_COMMON                                     : Flatshore Plaice
 153: T4_FISH_SALTWATER_ALL_COMMON                                     : Bluescale Cod
 154: T5_FISH_SALTWATER_ALL_COMMON                                     : Spotted Wolffish
 155: T6_FISH_SALTWATER_ALL_COMMON                                     : Strongfin Salmon
 156: T7_FISH_SALTWATER_ALL_COMMON                                     : Bluefin Tuna
 157: T8_FISH_SALTWATER_ALL_COMMON                                     : Steelscale Swordfish
 158: T3_FISH_FRESHWATER_FOREST_RARE                                   : Greenriver Eel
 159: T5_FISH_FRESHWATER_FOREST_RARE                                   : Redspring Eel
 160: T7_FISH_FRESHWATER_FOREST_RARE                                   : Deadwater Eel
 161: T3_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Upland Coldeye
 162: T5_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Mountain Blindeye
 163: T7_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Frostpeak Deadeye
 164: T3_FISH_FRESHWATER_HIGHLANDS_RARE                                : Stonestream Lurcher
 165: T5_FISH_FRESHWATER_HIGHLANDS_RARE                                : Rushwater Lurcher
 166: T7_FISH_FRESHWATER_HIGHLANDS_RARE                                : Thunderfall Lurcher
 167: T3_FISH_FRESHWATER_STEPPE_RARE                                   : Lowriver Crab
 168: T5_FISH_FRESHWATER_STEPPE_RARE                                   : Drybrook Crab
 169: T7_FISH_FRESHWATER_STEPPE_RARE                                   : Dusthole Crab
 170: T3_FISH_FRESHWATER_SWAMP_RARE                                    : Greenmoor Clam
 171: T5_FISH_FRESHWATER_SWAMP_RARE                                    : Murkwater Clam
 172: T7_FISH_FRESHWATER_SWAMP_RARE                                    : Blackbog Clam
 173: T3_FISH_SALTWATER_ALL_RARE                                       : Shallowshore Squid
 174: T5_FISH_SALTWATER_ALL_RARE                                       : Midwater Octopus
 175: T7_FISH_SALTWATER_ALL_RARE                                       : Deepwater Kraken
 176: T3_FISH_FRESHWATER_AVALON_RARE                                   : Whitefog Snapper
 177: T5_FISH_FRESHWATER_AVALON_RARE                                   : Clearhaze Snapper
 178: T7_FISH_FRESHWATER_AVALON_RARE                                   : Puremist Snapper
 179: T1_SEAWEED                                                       : Seaweed
 180: T8_FISH_SALTWATER_ALL_BOSS_SHARK                                 : Shark
 181: T1_FISHCHOPS                                                     : Chopped Fish
 182: T1_FISHSAUCE_LEVEL1                                              : Basic Fish Sauce
 183: T1_FISHSAUCE_LEVEL2                                              : Fancy Fish Sauce
 184: T1_FISHSAUCE_LEVEL3                                              : Special Fish Sauce
899: T3_MEAT                                                          : Raw Chicken
 900: T4_MEAT                                                          : Raw Goat
 901: T5_MEAT                                                          : Raw Goose
 902: T6_MEAT                                                          : Raw Mutton
 903: T7_MEAT                                                          : Raw Pork
 904: T8_MEAT                                                          : Raw Beef
 905: T4_BUTTER                                                        : Goat's Butter
 906: T6_BUTTER                                                        : Sheep's Butter
 907: T8_BUTTER                                                        : Cow's Butter
 908: T6_ALCOHOL                                                       : Potato Schnapps
 909: T7_ALCOHOL                                                       : Corn Hooch
 910: T8_ALCOHOL                                                       : Pumpkin Moonshine
 911: T4_BREAD                                                         : Bread
 912: T3_FLOUR                                                         : Flour
