2809: T4_2H_TOOL_PICK                                                  : Adept's Pickaxe
2810: T5_2H_TOOL_PICK                                                  : Expert's Pickaxe
2811: T6_2H_TOOL_PICK                                                  : Master's Pickaxe
2812: T7_2H_TOOL_PICK                                                  : Grandmaster's Pickaxe
2813: T8_2H_TOOL_PICK                                                  : Elder's Pickaxe
2814: T4_2H_TOOL_PICK_AVALON                                           : Adept's Avalonian Pickaxe
2815: T5_2H_TOOL_PICK_AVALON                                           : Expert's Avalonian Pickaxe
2816: T6_2H_TOOL_PICK_AVALON                                           : Master's Avalonian Pickaxe
2817: T7_2H_TOOL_PICK_AVALON                                           : Grandmaster's Avalonian Pickaxe
2818: T8_2H_TOOL_PICK_AVALON                                           : Elder's Avalonian Pickaxe
2822: T4_2H_TOOL_HAMMER                                                : Adept's Stone Hammer
2823: T5_2H_TOOL_HAMMER                                                : Expert's Stone Hammer
2824: T6_2H_TOOL_HAMMER                                                : Master's Stone Hammer
2825: T7_2H_TOOL_HAMMER                                                : Grandmaster's Stone Hammer
2826: T8_2H_TOOL_HAMMER                                                : Elder's Stone Hammer
2827: T4_2H_TOOL_HAMMER_AVALON                                         : Adept's Avalonian Stone Hammer
2828: T5_2H_TOOL_HAMMER_AVALON                                         : Expert's Avalonian Stone Hammer
2829: T6_2H_TOOL_HAMMER_AVALON                                         : Master's Avalonian Stone Hammer
2830: T7_2H_TOOL_HAMMER_AVALON                                         : Grandmaster's Avalonian Stone Hammer
2831: T8_2H_TOOL_HAMMER_AVALON                                         : Elder's Avalonian Stone Hammer
2835: T4_2H_TOOL_AXE                                                   : Adept's Axe
2836: T5_2H_TOOL_AXE                                                   : Expert's Axe
2837: T6_2H_TOOL_AXE                                                   : Master's Axe
2838: T7_2H_TOOL_AXE                                                   : Grandmaster's Axe
2839: T8_2H_TOOL_AXE                                                   : Elder's Axe
2840: T4_2H_TOOL_AXE_AVALON                                            : Adept's Avalonian Axe
